,Accession,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Length,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
42950,OP944803.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-12-05T00:00:00Z,CP.1,4.1.3/1.17/v0.1.10/0.3.17,True,MO-CDC-QDX43726750,Severe acute respiratory syndrome-related coronavirus,29711,USA: Missouri,USA,MO,Homo sapiens,oronasopharynx,2022-11-15
43029,OP944882.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-12-05T00:00:00Z,BR.1,4.1.3/1.17/v0.1.10/0.3.17,True,CA-CDC-QDX43726988,Severe acute respiratory syndrome-related coronavirus,29724,USA: California,USA,CA,Homo sapiens,oronasopharynx,2022-11-15
47212,OP926532.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-12-01T00:00:00Z,XBB.1,4.1.3/1.17/v0.1.10/0.3.17,True,CA-CDC-LC0939405,Severe acute respiratory syndrome-related coronavirus,29724,USA: California,USA,CA,Homo sapiens,oronasopharynx,2022-11-18
48753,OP929382.1,"Sullivan,T.J.","Dartmouth College, Department of Biomedical Data Science, Geisel School of Medicine",USA,2022-12-01T00:00:00Z,BA.1,4.1.3/1.17/v0.1.10/0.3.17,,TB-90009103,Severe acute respiratory syndrome-related coronavirus,29840,USA,USA,,Homo sapiens,oronasopharynx,2021-12-30
49556,OP930185.1,"Sullivan,T.J.","Dartmouth College, Department of Biomedical Data Science, Geisel School of Medicine",USA,2022-12-01T00:00:00Z,BA.1.17.2,4.1.3/1.17/v0.1.10/0.3.17,,TB-90017785,Severe acute respiratory syndrome-related coronavirus,29811,USA,USA,,Homo sapiens,oronasopharynx,2022-01-10
49750,OP930379.1,"Sullivan,T.J.","Dartmouth College, Department of Biomedical Data Science, Geisel School of Medicine",USA,2022-12-01T00:00:00Z,AY.103,4.1.3/1.17/v0.1.10/0.3.17,,TB-90020444,Severe acute respiratory syndrome-related coronavirus,29831,USA,USA,,Homo sapiens,oronasopharynx,2021-08-24
50610,OP932430.1,"Bankers,L., Bogale,H.N., Hetherington-Rauth,M.C., Ir,D., Matzinger,S.R., Rossheim,A., Smith,A.","CDPHE SARS-CoV-2 submissions, Department of Microbiology",USA,2022-12-01T00:00:00Z,BA.5.2,4.1.3/1.17/v0.1.10/0.3.17,True,CO-CDPHE-2103712242,Severe acute respiratory syndrome-related coronavirus,29450,USA,USA,,Homo sapiens,,2022-11-01
53174,OP922026.1,"Schmedes,S., Tarigopula,N., Tekin,O., Dong,Y.","FLDOH, BPHL",USA,2022-11-30T00:00:00Z,BA.1.17,4.1.3/1.17/v0.1.10/0.3.17,True,FL-BPHL-15080,Severe acute respiratory syndrome-related coronavirus,29684,USA: FL,USA,FL,Homo sapiens,,2022-01-13
53250,OP922102.1,"Schmedes,S., Tarigopula,N., Tekin,O., Dong,Y.","FLDOH, BPHL",USA,2022-11-30T00:00:00Z,BA.1.1,4.1.3/1.17/v0.1.10/0.3.17,True,FL-BPHL-21203,Severe acute respiratory syndrome-related coronavirus,29684,USA: FL,USA,FL,Homo sapiens,,2021-12-21
54867,OP924790.1,"Linares-Perdomo,O.J.","Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory",USA,2022-11-30T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,UT-UPHL-221115529128,Severe acute respiratory syndrome-related coronavirus,29800,USA,USA,,Homo sapiens,,2022-09-04
55095,OP925037.1,"Moates,D., Van Der Pol,W.J., Hendrickson,R.C., Lefkowitz,E.J., Leal,S.M.","UAB, Pathology",USA,2022-11-30T00:00:00Z,BA.5.2.1,4.1.3/1.17/v0.1.10/0.3.17,,AL-UAB-GX2604,Severe acute respiratory syndrome-related coronavirus,29685,"USA: Birmingham, AL",USA,AL,Homo sapiens,,2022-08-14
57692,OP909960.1,"Blankenship,H., Riner,D., Soehnlen,M.","Michigan Department of Health and Human Services, Bureau of Laboratories",USA,2022-11-29T00:00:00Z,BQ.1.1,4.1.3/1.17/v0.1.10/0.3.17,True,MI-MDHHS-SC43020,Severe acute respiratory syndrome-related coronavirus,29646,USA: Michigan,USA,MI,Homo sapiens,swab,2022-11-07
61564,OP916557.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-11-29T00:00:00Z,BN.1.5,4.1.3/1.17/v0.1.10/0.3.17,True,IL-CDC-QDX43584123,Severe acute respiratory syndrome-related coronavirus,29724,USA: Illinois,USA,IL,Homo sapiens,oronasopharynx,2022-11-10
62463,OP917456.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-11-29T00:00:00Z,BQ.1.10,4.1.3/1.17/v0.1.10/0.3.17,True,CA-CDC-QDX43632352,Severe acute respiratory syndrome-related coronavirus,29718,USA: California,USA,CA,Homo sapiens,oronasopharynx,2022-11-13
67348,OP889717.1,"Marhoon,A., AlHujairi,Z., AlTooq,M., Khamees,F., AlAnsari,W., AlAbbas,Z., Almoamen,G.","Public Health Directorate, Communicable Disease Laboratory",Bahrain,2022-11-24T00:00:00Z,BN.1,4.1.3/1.17/v0.1.10/0.3.17,,300030312,Severe acute respiratory syndrome-related coronavirus,29445,Bahrain,Bahrain,,Homo sapiens,,2022-11-20
68073,OP882748.1,"Githinji,G., Ochola-Oyier,I.L., Agoti,C.N., Mohammed,K.S., Mburu,M.W., Morobe,J.M., Lambisia,A.W., Makori,T., Ongera,E., Ndwiga,L., Nokes,D.J., Biscornet,L., Louange,M., Gedeon,J., Pool,B.","KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography",Kenya,2022-11-23T00:00:00Z,CA.6,4.1.3/1.17/v0.1.10/0.3.17,,SS10812,Severe acute respiratory syndrome-related coronavirus,29430,Seychelles,Seychelles,,Homo sapiens,,2022-09-20
69348,OP885564.1,"Lemieux,J.E., Siddle,K.J., Shaw,B., Adams,G., Pierce,V., Turbett,S., Anahtar,M., Branda,J., Slater,D., Harris,J., Lin,A.E., Gladden-Young,A., Lagerborg,K., Rudy,M., DeRuff,K., Carter,A., Normandin,E., Bauer,M., Reilly,S., Tomkins-Tinch,C., Loreth,C., Chaluvadi,S., Neumann,A., Cusick,C., Chapman,S.B., Gnirke,A., Flowers,K., Cerrato,F., Birren,B.W., Gallagher,G., Smole,S., Park,D.J., MacInnis,B.L., Ryan,E., LaRocque,R., Rosenberg,E., Sabeti,P.C.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2022-11-23T00:00:00Z,BQ.1,4.1.3/1.17/v0.1.10/0.3.17,True,MA-CDCBI-CRSP_T6KEBFKHQC2MVJPP,Severe acute respiratory syndrome-related coronavirus,29787,USA: Massachusetts,USA,MA,Homo sapiens,,2022-11-12
69420,OP885636.1,"Lemieux,J.E., Siddle,K.J., Shaw,B., Adams,G., Pierce,V., Turbett,S., Anahtar,M., Branda,J., Slater,D., Harris,J., Lin,A.E., Gladden-Young,A., Lagerborg,K., Rudy,M., DeRuff,K., Carter,A., Normandin,E., Bauer,M., Reilly,S., Tomkins-Tinch,C., Loreth,C., Chaluvadi,S., Neumann,A., Cusick,C., Chapman,S.B., Gnirke,A., Flowers,K., Cerrato,F., Birren,B.W., Gallagher,G., Smole,S., Park,D.J., MacInnis,B.L., Ryan,E., LaRocque,R., Rosenberg,E., Sabeti,P.C.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2022-11-23T00:00:00Z,BE.1.2.1,4.1.3/1.17/v0.1.10/0.3.17,True,CT-CDCBI-CRSP_G562UKQ2CWU2S45N,Severe acute respiratory syndrome-related coronavirus,29798,USA: Connecticut,USA,CT,Homo sapiens,,2022-10-31
70768,OP887770.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-11-23T00:00:00Z,BA.5.5,4.1.3/1.17/v0.1.10/0.3.17,True,OH-CDC-QDX43428137,Severe acute respiratory syndrome-related coronavirus,29694,USA: Ohio,USA,OH,Homo sapiens,oronasopharynx,2022-11-08
72073,OP875556.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-11-22T00:00:00Z,BA.5.2.6,4.1.3/1.17/v0.1.10/0.3.17,True,IN-CDC-LC0932532,Severe acute respiratory syndrome-related coronavirus,29318,USA: Indiana,USA,IN,Homo sapiens,oronasopharynx,2022-11-06
72522,OP876005.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-11-22T00:00:00Z,BQ.1,4.1.3/1.17/v0.1.10/0.3.17,True,NC-CDC-LC0931224,Severe acute respiratory syndrome-related coronavirus,29720,USA: North Carolina,USA,NC,Homo sapiens,oronasopharynx,2022-11-09
73414,OP877785.1,"Kumaravelu,P., Hodge,T., Vancil,A., Maynard,K.B., Selinsky,B., Baselski,V., Dukes,S., Anderson,C.J., Torgbe,K.","University Clinical Health, UTMG Pathology LLC",USA,2022-11-22T00:00:00Z,B.1.2,4.1.3/1.17/v0.1.10/0.3.17,,TN-SPHL-13524,Severe acute respiratory syndrome-related coronavirus,29798,"USA: Tennessee, Shelby County",USA,TN,Homo sapiens,oronasopharynx,2020-12-22
78180,OP867593.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-11-21T00:00:00Z,BA.5.2.1,4.1.3/1.17/v0.1.10/0.3.17,True,MI-CDC-LC0913066,Severe acute respiratory syndrome-related coronavirus,29660,USA: Michigan,USA,MI,Homo sapiens,oronasopharynx,2022-10-06
78411,OP867824.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-11-21T00:00:00Z,BL.2,4.1.3/1.17/v0.1.10/0.3.17,True,KS-CDC-LC0913260,Severe acute respiratory syndrome-related coronavirus,29631,USA: Kansas,USA,KS,Homo sapiens,oronasopharynx,2022-10-07
79688,OP869331.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-11-21T00:00:00Z,BQ.1.1,4.1.3/1.17/v0.1.10/0.3.17,True,CA-CDC-QDX43386078,Severe acute respiratory syndrome-related coronavirus,29718,USA: California,USA,CA,Homo sapiens,oronasopharynx,2022-11-04
