,virus_species_from_file,accession_with_version,subfamily,genus,subgenus,species,host,Sequence length,GC content,Melting temperature,GC skew,date,datetime,ZDNABERT intervals total length,ZDNABERT intervals number,ZHUNT intervals total length,ZHUNT intervals number
90,Avian_coronavirus,AY319651.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,,27733,38.203584177694445,77.82961227948965,0.13748022400567197,26-JUL-2003,2003-07-26,329,3,158,16
91,Avian_coronavirus,GQ427175.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,turkey,27690,38.11140813525034,77.78232983615715,0.14931925189385295,1994,1994-01-01,1726,15,172,16
92,Avian_coronavirus,EU418975.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,,27636,38.04457953394124,77.74818319728524,0.1419526927802997,06-MAR-2009,2009-03-06,1825,19,206,19
93,Avian_coronavirus,OM912684.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus domesticus (broiler); SEPRL-ID:2602,27623,38.14936828005647,77.78616909213537,0.1386820816593041,01-Apr-2021,2021-04-01,1616,13,276,27
94,Avian_coronavirus,FJ904715.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,chicken,27615,38.18129142070764,77.8162255405885,0.14613323259966127,2003,2003-01-01,1235,8,160,16
95,Avian_coronavirus,KJ425511.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27642,38.13399898704869,77.78509709478885,0.137982803825955,29-May-2011,2011-05-29,1336,10,216,22
96,Avian_coronavirus,KX259254.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27685,38.2770453314069,77.87909838215415,0.1407155477960615,2009,2009-01-01,1005,6,168,16
97,Avian_coronavirus,MW351626.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,,chicken,27692,38.14820164668497,77.80890421839933,0.14529493002947985,2019,2019-01-01,892,9,226,23
98,Avian_coronavirus,KX252784.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27675,38.13911472448058,77.79644709796281,0.1469070863190437,2009,2009-01-01,1564,21,286,29
99,Avian_coronavirus,MZ325299.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,,Gallus gallus,27639,38.43120228662397,77.92503933002183,0.14074246360821896,2013,2013-01-01,1232,6,238,23
100,Avian_coronavirus,ON951676.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,chicken,27728,37.734420080784766,77.63313954301913,0.1407349588345252,18-Nov-2021,2021-11-18,1987,12,136,14
101,Avian_coronavirus,JX840411.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,chicken,27674,38.20553588205536,77.8493722601549,0.1449772572343882,Oct-2010,2010-10-01,1310,11,230,23
102,Avian_coronavirus,MC183358.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,,27500,37.79636363636364,77.64742332299232,0.15646587322091862,31-JUL-2020,2020-07-31,1844,26,180,18
103,Avian_coronavirus,ON419879.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27522,38.138149049816505,77.79483589492412,0.14834845864410978,2012,2012-01-01,948,7,278,28
104,Avian_coronavirus,OM912691.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus domesticus (broiler); SEPRL-ID:2721,27280,38.185483870967744,77.80609479481768,0.13797370281252258,06-Jun-2021,2021-06-06,1795,10,330,32
105,Avian_coronavirus,ON419890.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27177,38.11731802458232,77.80367093830301,0.1502326986989811,2006,2006-01-01,1301,8,216,21
106,Avian_coronavirus,KJ435286.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27485,37.886119701655446,77.68165653115676,0.1564687970711674,27-Dec-2011,2011-12-27,1894,26,180,18
107,Avian_coronavirus,OM525804.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Broiler chicken,27089,38.188932777142014,77.85246092709042,0.13767748672813276,2005,2005-01-01,1342,6,208,21
108,Avian_coronavirus,KX236014.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27692,38.13375704174491,77.80094618159495,0.14658262673969816,2012,2012-01-01,1051,10,208,20
109,Avian_coronavirus,KY626044.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,,,27618,37.818655851680184,77.64867622904262,0.15471956852151975,2016,2016-01-01,1165,5,188,19
110,Avian_coronavirus,MK937833.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus,27642,38.141234353520005,77.78999251171712,0.13815963038498752,2014,2014-01-01,1463,11,276,27
111,Avian_coronavirus,GU393335.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27632,38.19484655471916,77.81181258566335,0.1379368833896786,1960,1960-01-01,1734,16,216,22
112,Avian_coronavirus,KX252781.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27681,38.080271666486034,77.76951069429134,0.14739704591881708,Jun-2015,2015-06-01,1105,13,312,30
113,Avian_coronavirus,MN517817.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27944,38.11193816203836,77.79777344080111,0.1416210217800538,2011,2011-01-01,881,9,170,17
114,Avian_coronavirus,MN262644.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,,chicken,27523,38.287977328052904,77.81378933155992,0.13396638281414236,2018,2018-01-01,2537,14,240,24
115,Avian_coronavirus,OM912707.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus domesticus (layer); SEPRL-ID:2960,27526,38.153018963888684,77.80945932564464,0.1457193410868051,14-Dec-2021,2021-12-14,2143,19,282,27
116,Avian_coronavirus,DQ834384.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,,27476,37.81845974668802,77.65327207461115,0.15642858673752058,27-AUG-2006,2006-08-27,2067,24,180,18
117,Avian_coronavirus,ON951674.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,chicken,27626,37.87012234851227,77.6533994406023,0.14909318177676825,18-Nov-2021,2021-11-18,1922,9,214,21
118,Avian_coronavirus,MG448607.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27675,38.21138211382114,77.83378685809953,0.1417174456535428,2012,2012-01-01,679,5,234,23
119,Avian_coronavirus,MT984586.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,,Gallus gallus,27409,38.23561603852749,77.85667853018566,0.13620498204357898,2010,2010-01-01,1192,13,352,34
120,Avian_coronavirus,KX275393.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27685,38.035037023659015,77.74045689559858,0.14792884507406248,Jul-2013,2013-07-01,942,14,238,23
121,Avian_coronavirus,FJ904721.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,chicken,27474,37.86489044187232,77.67303584384052,0.15496792723770153,1972,1972-01-01,1967,25,162,16
